arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_item;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;codigo_item;codigo_pdm;nome_pdm;tipo_item;descricao_item;fornecedor_cnpj;fornecedor_nome;classificacao_fornecedor;situacao_sicaf;quantidade_homologada_item;quantidade_homologada_vencedor;quantidade_empenhada;maximo_adesao;valor_unitario;valor_total;percentual_maior_desconto;data_assinatura;data_vigencia_inicial;data_vigencia_final;item_excluido;data_inclusao;data_atualizacao
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00001;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, categoria D, Reitoria;08720790000191;POLO ADMINISTRACAO LTDA;001;1;60,00;60,00;0,00;120,00;5026,29;301577,40;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00002;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Hora extra Diurna, Reitoria.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;600,00;600,00;0,00;1200,00;27,41;16446,00;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00003;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Hora extra Noturna (22h a 5h), Reitoria.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;150,00;150,00;0,00;300,00;36,53;5479,50;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00004;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Hora extra Finais semana e feriados, Reito ria;08720790000191;POLO ADMINISTRACAO LTDA;001;1;90,00;90,00;0,00;180,00;36,53;3287,70;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00005;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Diária no pais, Reitoria.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;225,00;225,00;0,00;450,00;319,99;71997,75;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00006;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, categoria D, Campus Aquidauana.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;12,00;12,00;0,00;24,00;5024,12;60289,44;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00007;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Diária integral (Nacional), Campus Aquidau ana.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;48,00;48,00;0,00;96,00;319,99;15359,52;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00008;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Motorista categoria D, Campus Campo Grande .;08720790000191;POLO ADMINISTRACAO LTDA;001;1;12,00;12,00;0,00;24,00;5023,59;60283,08;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00009;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista,Hora extra Diurna, Campus Campo Grande.;08720790000191;POLO ADMINISTRACAO LTDA;001;1;144,00;144,00;0,00;288,00;27,41;3947,04;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
atas_itens_RT_2024_p1.json;2026-07-29 14:27:28;00010/2024;10673078000120-1-000002/2024-000001;10673078000120-1-000002/2024;15813205900082024;00010;90008;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;15008;;;Serviço;Prestação de Serviços de Motorista, Hora extra noturna, Campus Campo Grande;08720790000191;POLO ADMINISTRACAO LTDA;001;1;144,00;144,00;0,00;288,00;42,27;6086,88;0,00;15/03/2024;16/03/2024;16/03/2025;Não;15/03/2024;15/03/2024
